contractSymbol,strike,oi_change,oi_change_pct,signal_type,stock_price_change_pct,option_type,openInterest_new,openInterest_old,amount_threshold,amount_to_market_cap,amount_tier,expiry_date,price_basis_new,price_basis_old,price_source_new,price_source_old,spread_pct_new,股票价格(new),股票价格(old),股票价格(new open),股票价格(new high),股票价格(new low),lastPrice_new,bid,ask,volume,impliedVolatility,inTheMoney,symbol,lastPrice_old,spread_pct_old,option_price_change,stock_price_change,market_cap,option_price_change_pct,oi_change_abs
MU261016C01200000,1200.0,2547.0,372.91361639824305,多头买 Call，看涨,2.8024956869786526,CALL,3230.0,683.0,36409365.0,0.00020686574480573337,10M-50M,2026-10-16,142.95,129.175,mid,mid,0.031479538300104935,1002.9000244140624,975.5599975585938,1007.0,1019.0,988.0910034179688,142.68,140.7,145.2,89.0,0.9920883969879152,False,MU,129.39,0.052254693245597165,0.10663828140119974,0.028024956869786524,176004804634.0,10.663828140119975,2547.0
AMD260710C00515000,515.0,6454.0,2501.5503875968993,多头买 Call，看涨,8.55122776938089,CALL,6712.0,258.0,36061725.0,0.0001393535531323186,10M-50M,2026-07-10,55.875,22.525,mid,mid,0.02237136465324385,562.0999755859375,517.8200073242188,535.2000122070312,572.5,527.0399780273438,57.55,55.25,56.5,283.0,1.0228320343017578,True,AMD,22.55,0.04217536071032184,1.4805771365149836,0.0855122776938089,258778654648.0,148.05771365149835,6454.0
SNDK261218C01900000,1900.0,583.0,228.62745098039215,多头买 Call，看涨,1.9469340414577363,CALL,838.0,255.0,31995039.999999996,0.002259435428014316,10M-50M,2026-12-18,548.8,510.9,mid,mid,0.02295918367346943,1778.9739990234375,1745.0,1824.64501953125,1837.77001953125,1753.10009765625,552.0,542.5,555.1,130.0,1.2650450261116029,False,SNDK,486.0,0.02779408886279113,0.07418281464082986,0.019469340414577364,14160634822.0,7.418281464082986,583.0
CRWD270115C00175000,175.0,5877.0,39180.0,多头买 Call，看涨,4.072589611956525,CALL,5892.0,15.0,31706415.000000004,0.0002624381187815288,10M-50M,2027-01-15,53.95,45.725,mid,mid,0.06487488415199258,201.8800048828125,193.97999572753903,189.50999450683597,209.4900054931641,188.5500030517578,54.41,52.2,55.7,16.0,0.7206143661499024,True,CRWD,46.2,0.06670311645708031,0.1798797156916348,0.04072589611956525,120814823499.0,17.98797156916348,5877.0
SNDK261218C01700000,1700.0,500.0,212.7659574468085,多头买 Call，看涨,1.9469340414577363,CALL,735.0,235.0,31155000.0,0.002200113228793776,10M-50M,2026-12-18,623.1,579.95,mid,mid,0.019258545979778528,1778.9739990234375,1745.0,1824.64501953125,1837.77001953125,1753.10009765625,618.72,617.1,629.1,2.0,1.2844426647186276,True,SNDK,569.9,0.02086386757479097,0.07440296577291142,0.019469340414577364,14160634822.0,7.440296577291142,500.0
MU270115C00900000,900.0,939.0,20.922459893048128,多头买 Call，看涨,2.8024956869786526,CALL,5427.0,4488.0,30447075.0,0.00017299002185374625,10M-50M,2027-01-15,324.25,300.425,mid,mid,0.016037008481110393,1002.9000244140624,975.5599975585938,1007.0,1019.0,988.0910034179688,313.01,321.65,326.85,18.0,0.9982757740783692,True,MU,300.0,0.015810934509444954,0.07930431888158439,0.028024956869786524,176004804634.0,7.930431888158439,939.0
ASTS260821P00085000,85.0,19627.0,1141.1046511627908,多头买 Put，看跌,-3.3713088332940946,PUT,21347.0,1720.0,29293297.500000004,0.001664424785066416,10M-50M,2026-08-21,14.925,13.925,mid,mid,0.02345058626465659,82.26000213623047,85.12999725341797,86.28500366210938,88.25,80.41000366210938,14.91,14.75,15.1,6.0,1.137455484619141,True,ASTS,14.25,0.04667863554757633,0.0718132854578097,-0.03371308833294095,17599652302.0,7.1813285457809695,19627.0
AMD260710C00530000,530.0,6209.0,1210.3313840155945,多头买 Call，看涨,8.55122776938089,CALL,6722.0,513.0,27195419.999999996,0.00010509143436498726,10M-50M,2026-07-10,43.8,15.825,mid,mid,0.025114155251141586,562.0999755859375,517.8200073242188,535.2000122070312,572.5,527.0399780273438,45.92,43.25,44.35,5688.0,0.9583744396972655,True,AMD,15.79,0.04107424960505521,1.7677725118483412,0.0855122776938089,258778654648.0,176.7772511848341,6209.0
CRWD270115C00150000,150.0,3680.0,10514.285714285714,多头买 Call，看涨,4.072589611956525,CALL,3715.0,35.0,25658799.999999996,0.0002123812232379943,10M-50M,2027-01-15,69.725,60.95,mid,mid,0.05665112943707427,201.8800048828125,193.97999572753903,189.50999450683597,209.4900054931641,188.5500030517578,69.6,67.75,71.7,12.0,0.7625756164550781,True,CRWD,61.0,0.10172272354388835,0.14397046759639034,0.04072589611956525,120814823499.0,14.397046759639034,3680.0
TSM260918C00350000,350.0,-2075.0,-43.031936955620075,空头平仓 Call，回补信号，看涨,5.055735559311443,CALL,2747.0,4822.0,24894812.5,1.7558831270451467e-05,10M-50M,2026-09-18,119.975,98.225,mid,mid,0.029589497812044153,456.1099853515625,434.1600036621094,447.7749938964844,460.0249938964844,445.6000061035156,115.89,118.2,121.75,1.0,0.6926910614013673,True,TSM,96.8,0.02799694578773225,0.22143038941206414,0.050557355593114424,1417794391697.0,22.143038941206413,-2075.0
SNDK261218P01700000,1700.0,504.0,301.7964071856287,空头卖 Put，看涨/看不跌,1.9469340414577363,PUT,671.0,167.0,24086159.999999996,0.001700923744080998,10M-50M,2026-12-18,477.9,506.85,mid,mid,0.01966938690102539,1778.9739990234375,1745.0,1824.64501953125,1837.77001953125,1753.10009765625,482.75,473.2,482.6,1.0,1.1305852491950992,False,SNDK,505.67,0.02189997040544533,-0.057117490381769845,0.019469340414577364,14160634822.0,-5.711749038176984,504.0
MRVL260717C00180000,180.0,-2892.0,-18.1498682063512,空头平仓 Call，回补信号，看涨,4.00546800764527,CALL,13042.0,15934.0,22384080.0,0.00031218706353816666,10M-50M,2026-07-17,77.4,67.55,mid,mid,0.024547803617570946,255.1150054931641,245.2899932861328,254.88999938964844,260.4599914550781,251.0,77.55,76.45,78.35,191.0,1.4301786303710935,True,MRVL,63.84,0.03108808290155432,0.14581791265729102,0.040054680076452694,71700857000.0,14.581791265729102,-2892.0
SNDK260717P02030000,2030.0,-719.0,-37.78244876510772,多头平仓 Put，减仓，看跌减弱,1.9469340414577363,PUT,1184.0,1903.0,21156575.0,0.0014940414229968764,10M-50M,2026-07-17,294.25,362.25,mid,mid,0.045199660152931025,1778.9739990234375,1745.0,1824.64501953125,1837.77001953125,1753.10009765625,310.62,287.6,300.9,4.0,0.965393412475586,True,SNDK,373.5,0.02677708764665299,-0.18771566597653555,0.019469340414577364,14160634822.0,-18.771566597653553,-719.0
AAPL261218C00330000,330.0,11363.0,159.70484891075193,多头买 Call，看涨,1.1081174403165452,CALL,18478.0,7115.0,20112510.0,5.305154680701315e-06,10M-50M,2026-12-18,17.7,15.475,mid,mid,0.022598870056497095,312.04998779296875,308.6300048828125,307.67999267578125,314.20001220703125,307.010009765625,17.76,17.5,17.9,95.0,0.3003915176391601,False,AAPL,16.08,0.048465266558966075,0.14378029079159935,0.011081174403165452,3791126029400.0,14.378029079159935,11363.0
INTC261016C00100000,100.0,-5091.0,-38.60034877549473,空头平仓 Call，回补信号，看涨,3.1575424030469286,CALL,8098.0,13189.0,18518512.5,0.00011917940128778152,10M-50M,2026-10-16,36.375,33.400000000000006,mid,mid,0.015120274914089269,124.1501007080078,120.3499984741211,122.56999969482422,127.3000030517578,121.52999877929688,36.65,36.1,36.65,43.0,0.9498296032714844,True,INTC,33.13,0.032934131736526984,0.08907185628742496,0.031575424030469285,155383500000.0,8.907185628742496,-5091.0
CRWD280121C00200000,200.0,2498.0,83266.66666666666,多头买 Call，看涨,4.072589611956525,CALL,2501.0,3.0,17354855.0,0.00014364839096208792,10M-50M,2028-01-21,69.475,59.2,mid,mid,0.0712486505937388,201.8800048828125,193.97999572753903,189.50999450683597,209.4900054931641,188.5500030517578,70.0,67.0,71.95,17.0,0.7094603028869628,True,CRWD,61.04,0.14189189189189186,0.17356418918918903,0.04072589611956525,120814823499.0,17.356418918918905,2498.0
MU260710C01000000,1000.0,2814.0,380.27027027027026,多头买 Call，看涨,2.8024956869786526,CALL,3554.0,740.0,16426725.0,9.333111692126353e-05,10M-50M,2026-07-10,58.375,50.5,mid,mid,0.014561027837259002,1002.9000244140624,975.5599975585938,1007.0,1019.0,988.0910034179688,58.46,57.95,58.8,8500.0,1.2217446139526364,True,MU,51.0,0.0594059405940594,0.15594059405940594,0.028024956869786524,176004804634.0,15.594059405940595,2814.0
SNDK260821P01850000,1850.0,443.0,461.4583333333333,空头卖 Put，看涨/看不跌,1.9469340414577363,PUT,539.0,96.0,15454055.000000002,0.001091339137987694,10M-50M,2026-08-21,348.85,386.8,mid,mid,0.019205962448043536,1778.9739990234375,1745.0,1824.64501953125,1837.77001953125,1753.10009765625,369.97,345.5,352.2,6.0,1.2109948508071895,True,SNDK,395.67,0.022233712512926634,-0.09811271975180968,0.019469340414577364,14160634822.0,-9.811271975180968,443.0
CRWD260717C00190000,190.0,8598.0,27735.483870967742,多头买 Call，看涨,4.072589611956525,CALL,8629.0,31.0,15046500.0,0.00012454183654147822,10M-50M,2026-07-17,17.5,11.2,mid,mid,0.13714285714285707,201.8800048828125,193.97999572753903,189.50999450683597,209.4900054931641,188.5500030517578,18.6,16.3,18.7,1484.0,0.7375514526367187,True,CRWD,12.3,0.08928571428571429,0.5625000000000001,0.04072589611956525,120814823499.0,56.250000000000014,8598.0
