contractSymbol,strike,oi_change,oi_change_pct,signal_type,stock_price_change_pct,option_type,openInterest_new,openInterest_old,amount_threshold,amount_to_market_cap,amount_tier,expiry_date,price_basis_new,price_basis_old,price_source_new,price_source_old,spread_pct_new,股票价格(new),股票价格(old),股票价格(new open),股票价格(new high),股票价格(new low),lastPrice_new,bid,ask,volume,impliedVolatility,inTheMoney,symbol,lastPrice_old,spread_pct_old,option_price_change,stock_price_change,market_cap,option_price_change_pct,oi_change_abs
SNDK260918P01350000,1350.0,1845.0,420.2733485193622,多头买 Put，看跌,-2.244990852339998,PUT,2284.0,439.0,42647175.0,0.003011671124640771,10M-50M,2026-09-18,231.15,222.3,mid,mid,0.028985507246376763,1230.324951171875,1258.5799560546875,1308.1600341796875,1309.530029296875,1184.3699951171875,249.4,227.8,234.5,3.0,0.9376837286376952,True,SNDK,212.6,0.026990553306342778,0.039811066126855574,-0.02244990852339998,14160634822.0,3.9811066126855574,1845.0
SNDK260918C01430000,1430.0,2061.0,2315.7303370786517,空头卖 Call，看跌/看不涨,-2.244990852339998,CALL,2150.0,89.0,17281484.999999996,0.001220389143370284,10M-50M,2026-09-18,83.85,110.85,mid,mid,0.04412641621943951,1230.324951171875,1258.5799560546875,1308.1600341796875,1309.530029296875,1184.3699951171875,87.2,82.0,85.7,8.0,0.9086312847900392,False,SNDK,114.8,0.04239963915200724,-0.2435723951285521,-0.02244990852339998,14160634822.0,-24.357239512855212,2061.0
SNDK260821C01300000,1300.0,2102.0,332.59493670886076,空头卖 Call，看跌/看不涨,-2.244990852339998,CALL,2734.0,632.0,12748630.0,0.000900286615695625,10M-50M,2026-08-21,60.65,89.55000000000001,mid,mid,0.05441055234954653,1230.324951171875,1258.5799560546875,1308.1600341796875,1309.530029296875,1184.3699951171875,61.0,59.0,62.3,444.0,0.8950053224182128,False,SNDK,88.0,0.07481853713009494,-0.3227247347850364,-0.02244990852339998,14160634822.0,-32.27247347850364,2102.0
WDC260807P00550000,550.0,-943.0,-97.82157676348547,空头平仓 Put，回补，看跌信号减弱,-4.40183903018011,PUT,21.0,964.0,11120327.5,0.00029990874768091234,10M-50M,2026-08-07,117.925,97.475,mid,mid,0.07759168963324152,431.6448059082031,451.5199890136719,457.4450073242188,457.55999755859375,422.5,116.34,113.35,122.5,2.0,3.566407333984375,True,WDC,98.0,0.07130033341882537,0.20979738394460123,-0.044018390301801096,37079036827.0,20.979738394460124,-943.0
MU260904P00950000,950.0,893.0,1786.0,多头买 Put，看跌,-1.6960250114873252,PUT,943.0,50.0,10838787.5,6.158233874659919e-05,10M-50M,2026-09-04,121.375,117.275,mid,mid,0.08280123583934097,866.52001953125,881.469970703125,904.6500244140624,904.6500244140624,847.02001953125,112.01,116.35,126.4,913.0,0.7079802151489257,True,MU,112.01,0.07461095715199317,0.03496056277979104,-0.016960250114873253,176004804634.0,3.496056277979104,893.0
MU280121P00750000,750.0,502.0,107.49464668094217,多头买 Put，看跌,-1.6960250114873252,PUT,969.0,467.0,10641145.0,6.045940065175005e-05,10M-50M,2028-01-21,211.975,211.025,mid,mid,0.04929826630498874,866.52001953125,881.469970703125,904.6500244140624,904.6500244140624,847.02001953125,211.82,206.75,217.2,3.0,0.7054701694488528,False,MU,212.5,0.03767326146191204,0.004501836275322775,-0.016960250114873253,176004804634.0,0.45018362753227753,502.0
MU260828P00950000,950.0,914.0,896.0784313725491,多头买 Put，看跌,-1.6960250114873252,PUT,1016.0,102.0,10225375.0,5.809713559390354e-05,10M-50M,2026-08-28,111.875,108.25,mid,mid,0.08357541899441336,866.52001953125,881.469970703125,904.6500244140624,904.6500244140624,847.02001953125,123.49,107.2,116.55,6.0,0.6912262322998048,True,MU,101.51,0.060969976905311724,0.03348729792147806,-0.016960250114873253,176004804634.0,3.348729792147806,914.0
ADBE261120C00260000,260.0,2811.0,300.0,多头买 Call，看涨,2.0365887294161134,CALL,3748.0,937.0,9128722.5,6.0514876538806053e-05,5M-10M,2026-11-20,32.474999999999994,28.2,mid,mid,0.020015396458814432,265.5400085449219,260.239990234375,262.7200012207031,270.1600036621094,261.3399963378906,31.95,32.15,32.8,18.0,0.5260667510986328,True,ADBE,28.77,0.09219858156028374,0.15159574468085088,0.020365887294161132,150850882000.0,15.159574468085088,2811.0
CRM261120C00195000,195.0,4958.0,1466.8639053254437,多头买 Call，看涨,2.4328219627235512,CALL,5296.0,338.0,9060745.0,3.909784860417486e-05,5M-10M,2026-11-20,18.275,15.975,mid,mid,0.024623803009575885,191.3650054931641,186.82000732421875,191.08999633789065,194.6999969482422,190.6000061035156,18.1,18.05,18.5,18.0,0.4893239544677735,False,CRM,15.25,0.028169014084506998,0.14397496087636927,0.02432821962723551,231745360000.0,14.397496087636927,4958.0
NVDA261218C00220000,220.0,3163.0,12.376256994169895,多头买 Call，看涨,1.5434446957575503,CALL,28720.0,25557.0,7725627.500000001,1.7842025793432221e-06,5M-10M,2026-12-18,24.425,22.825,mid,mid,0.010235414534288638,222.3699951171875,218.9900054931641,221.5850067138672,224.75999450683597,220.66000366210935,24.5,24.3,24.55,5361.0,0.4376887286376953,True,NVDA,22.9,0.006571741511500486,0.07009857612267258,0.015434446957575503,4330017000000.0,7.009857612267258,3163.0
MU271217C01100000,1100.0,299.0,32.2198275862069,空头卖 Call，看跌/看不涨,-1.6960250114873252,CALL,1227.0,928.0,7640197.500000001,4.340902804265886e-05,5M-10M,2027-12-17,255.525,272.7,mid,mid,0.043635652088836845,866.52001953125,881.469970703125,904.6500244140624,904.6500244140624,847.02001953125,250.0,249.95,261.1,64.0,0.8199023136901853,False,MU,283.32,0.048038137147048125,-0.06298129812981292,-0.016960250114873253,176004804634.0,-6.2981298129812915,299.0
