contractSymbol,strike,oi_change,signal_type,stock_price_change_pct,option_type,openInterest_new,openInterest_old,amount_threshold,amount_to_market_cap,amount_tier,expiry_date,股票价格(new),股票价格(old),股票价格(new open),股票价格(new high),股票价格(new low),lastPrice_new,bid,ask,volume,impliedVolatility,inTheMoney,symbol,lastPrice_old,option_price_change,stock_price_change,market_cap,option_price_change_pct,oi_change_abs
CIFR261120C00022000,22.0,31054.0,空头卖 Call，看跌/看不涨,-1.5885049685806518,CALL,31111.0,57.0,23663148.0,0.005245710392157991,10M-50M,2026-11-20,19.51499938964844,19.82999992370605,19.302000045776367,19.61829948425293,18.51000022888184,7.62,7.35,8.0,36.0,1.1508831518554683,False,CIFR,8.27,-0.07859733978234577,-0.015885049685806518,4510952041.0,-7.859733978234577,31054.0
CRM260320C00270000,270.0,13977.0,多头买 Call，看涨,5.358376684150748,CALL,22543.0,8566.0,23173865.999999996,9.999710889572933e-05,10M-50M,2026-03-20,260.9200134277344,247.6499938964844,250.8300018310547,261.8800048828125,249.5,16.58,16.6,17.1,353.0,0.3744264218139648,False,CRM,11.39,0.4556628621597891,0.05358376684150749,231745360000.0,45.566286215978906,13977.0
META260220P00710000,710.0,1991.0,空头卖 Put，看涨/看不跌,1.5654553191269498,PUT,2745.0,754.0,13011185.0,6.963791819130402e-06,10M-50M,2026-02-20,671.885986328125,661.530029296875,664.5,674.6900024414062,662.4149780273438,65.35,63.25,63.6,30.0,0.3288641333007812,True,META,69.4,-0.058357348703170185,0.0156545531912695,1868405222031.0,-5.835734870317019,1991.0
PLTR251205C00172500,172.5,-14331.0,空头平仓 Call，回补信号，看涨,1.8772461624685575,CALL,10926.0,25257.0,12038040.0,2.8576485296601318e-05,10M-50M,2025-12-05,181.25999450683597,177.9199981689453,178.2100067138672,181.6622009277344,177.16009521484375,8.4,8.4,8.55,1085.0,1.0000000000000004e-05,True,PLTR,5.32,0.5789473684210527,0.018772461624685575,421256843697.0,57.89473684210527,-14331.0
META260116C00720000,720.0,-10884.0,空头平仓 Call，回补信号，看涨,1.5654553191269498,CALL,9787.0,20671.0,11384664.000000002,6.0932520770973904e-06,10M-50M,2026-01-16,671.885986328125,661.530029296875,664.5,674.6900024414062,662.4149780273438,10.46,10.15,10.25,1766.0,0.2934946139526366,False,META,8.03,0.30261519302615214,0.0156545531912695,1868405222031.0,30.261519302615213,-10884.0
INTC260320C00050000,50.0,-35533.0,空头平仓 Call，回补信号，看涨,3.9999973626784335,CALL,32478.0,68011.0,10055839.0,6.471626009196601e-05,10M-50M,2026-03-20,42.119998931884766,40.5,41.15499877929688,42.83000183105469,41.15499877929688,2.83,2.78,2.85,1809.0,0.6042520043945314,False,INTC,2.22,0.2747747747747747,0.039999973626784334,155383500000.0,27.477477477477468,-35533.0
VALE260320C00012000,12.0,84817.0,空头卖 Call，看跌/看不涨,-3.9823004804028725,CALL,113003.0,28186.0,9753954.999999998,0.0002135469240555089,5M-10M,2026-03-20,13.020000457763672,13.5600004196167,13.529999732971191,13.5600004196167,12.960100173950195,1.15,1.17,1.23,20145.0,0.21680470703125,True,VALE,1.6,-0.2812500000000001,-0.03982300480402873,45675933021.0,-28.12500000000001,84817.0
META260116P00665000,665.0,4163.0,空头卖 Put，看涨/看不跌,1.5654553191269498,PUT,4630.0,467.0,8708996.0,4.6611922816899e-06,5M-10M,2026-01-16,671.885986328125,661.530029296875,664.5,674.6900024414062,662.4149780273438,20.92,20.8,20.95,152.0,0.2652051019287109,False,META,26.77,-0.2185282032125513,0.0156545531912695,1868405222031.0,-21.85282032125513,4163.0
AMD251205P00235000,235.0,-4695.0,多头平仓 Put，减仓，看跌减弱,1.5279206949891917,PUT,409.0,5104.0,8404050.0,3.247582383265532e-05,5M-10M,2025-12-05,219.27999877929688,215.97999572753903,217.1649932861328,223.6419982910156,216.2400054931641,17.9,15.9,16.3,347.0,0.93164130859375,True,AMD,20.2,-0.11386138613861391,0.015279206949891917,258778654648.0,-11.386138613861391,-4695.0
GOOGL260116C00285000,285.0,-1986.0,空头平仓 Call，回补信号，看涨,1.0074970896749085,CALL,6626.0,8612.0,8043300.0,2.6975960154421095e-06,5M-10M,2026-01-16,320.82000732421875,317.6199951171875,319.6675109863281,323.1600036621094,319.1650085449219,40.5,39.05,39.85,61.0,0.3846497082519531,True,GOOGL,36.61,0.10625512155148868,0.010074970896749084,2981654760000.0,10.625512155148868,-1986.0
INTC260320C00045000,45.0,17134.0,多头买 Call，看涨,3.9999973626784335,CALL,31471.0,14337.0,7110610.000000001,4.576167997245525e-05,5M-10M,2026-03-20,42.119998931884766,40.5,41.15499877929688,42.83000183105469,41.15499877929688,4.15,4.1,4.2,1974.0,0.5866740551757812,False,INTC,3.35,0.2388059701492538,0.039999973626784334,155383500000.0,23.88059701492538,17134.0
PLTR251212C00182500,182.5,18932.0,多头买 Call，看涨,1.8772461624685575,CALL,33193.0,14261.0,7099500.0,1.6853138664036758e-05,5M-10M,2025-12-12,181.25999450683597,177.9199981689453,178.2100067138672,181.6622009277344,177.16009521484375,3.75,3.65,3.75,8781.0,0.4046690393066406,False,PLTR,2.75,0.36363636363636365,0.018772461624685575,421256843697.0,36.36363636363637,18932.0
VALE251219C00012000,12.0,-63192.0,多头平仓 Call，减仓，看涨减弱,-3.9823004804028725,CALL,73003.0,136195.0,7014312.000000001,0.00015356691229000393,5M-10M,2025-12-19,13.020000457763672,13.5600004196167,13.529999732971191,13.5600004196167,12.960100173950195,1.11,1.08,1.2,20477.0,0.5390671093750001,True,VALE,1.58,-0.2974683544303797,-0.03982300480402873,45675933021.0,-29.746835443037973,-63192.0
WBD260320C00025000,25.0,46632.0,多头买 Call，看涨,5.596575726401327,CALL,61134.0,14502.0,6761639.999999999,0.00013998583067812554,5M-10M,2026-03-20,25.91340065002441,24.540000915527344,25.450000762939453,26.0,24.979999542236328,1.45,1.45,1.5,2851.0,0.178719150390625,True,WBD,1.34,0.08208955223880587,0.055965757264013274,48302317222.0,8.208955223880587,46632.0
