contractSymbol,strike,oi_change,oi_change_pct,signal_type,stock_price_change_pct,option_type,openInterest_new,openInterest_old,amount_threshold,amount_to_market_cap,amount_tier,expiry_date,price_basis_new,price_basis_old,price_source_new,price_source_old,spread_pct_new,股票价格(new),股票价格(old),股票价格(new open),股票价格(new high),股票价格(new low),lastPrice_new,bid,ask,volume,impliedVolatility,inTheMoney,symbol,lastPrice_old,spread_pct_old,option_price_change,stock_price_change,market_cap,option_price_change_pct,oi_change_abs
MSFT261218C00430000,430.0,-2176.0,-36.96907917091403,空头平仓 Call，回补信号，看涨,1.2107453102471526,CALL,3710.0,5886.0,19257600.0,5.0654336788425015e-06,10M-50M,2026-12-18,88.5,87.80000000000001,lastPrice,mid,,511.1749877929688,505.05999755859375,505.3299865722656,511.4400024414063,504.8674926757813,88.5,0.0,0.0,3558.0,1.0000000000000004e-05,True,MSFT,88.5,0.025056947608200486,0.00797266514806365,0.012107453102471525,3801767276203.0,0.797266514806365,-2176.0
AVGO260904C00370000,370.0,10265.0,928.119349005425,多头买 Call，看涨,1.0559012792428972,CALL,11371.0,1106.0,17758450.0,1.1241141971889207e-05,10M-50M,2026-09-04,17.3,15.725,lastPrice,mid,,375.4631042480469,371.5400085449219,373.5199890136719,376.5,372.3500061035156,17.3,0.0,0.0,13249.0,1.0000000000000004e-05,True,AVGO,15.7,0.028616852146263867,0.10015898251192376,0.010559012792428973,1579772770810.0,10.015898251192375,10265.0
MSTR260828C00122000,122.0,-4238.0,-25.49019607843137,多头平仓 Call，减仓，看涨减弱,-2.183406210527321,CALL,12388.0,16626.0,6229860.0,7.10888226326173e-05,5M-10M,2026-08-28,14.7,15.575,lastPrice,mid,,134.39999389648438,137.39999389648438,134.02499389648438,135.8800048828125,133.86000061035156,14.7,0.0,0.0,10526.0,1.0000000000000004e-05,True,MSTR,14.7,0.03531300160513637,-0.05617977528089888,-0.02183406210527321,87634873800.0,-5.617977528089888,-4238.0
