contractSymbol,strike,oi_change,signal_type,stock_price_change_pct,option_type,openInterest_new,openInterest_old,amount_threshold,amount_to_market_cap,amount_tier,expiry_date,股票价格(new),股票价格(old),股票价格(new open),股票价格(new high),股票价格(new low),lastPrice_new,bid,ask,volume,impliedVolatility,inTheMoney,symbol,lastPrice_old,option_price_change,stock_price_change,market_cap,option_price_change_pct,oi_change_abs
SNDK270115C00710000,710.0,1096.0,多头买 Call，看涨,3.793298209994679,CALL,1110.0,14.0,21411456.000000004,0.0015120406866742377,10M-50M,2027-01-15,623.1749877929688,600.4000244140625,597.0,634.47998046875,590.219970703125,195.36,187.0,200.6,2001.0,0.9603046572113036,False,SNDK,192.7,0.013803840166061366,0.03793298209994679,14160634822.0,1.3803840166061365,1096.0
PLTR260220P00150000,150.0,-5319.0,空头平仓 Put，回补，看跌信号减弱,-1.5668492281113369,PUT,11216.0,16535.0,8521038.0,2.0227654760972808e-05,5M-10M,2026-02-20,133.25880432128906,135.3800048828125,132.30999755859375,136.16000366210938,131.00999450683594,16.02,16.15,16.45,611.0,1.0000000000000004e-05,True,PLTR,14.15,0.13215547703180205,-0.015668492281113368,421256843697.0,13.215547703180205,-5319.0
MU260320P00420000,420.0,1988.0,多头买 Put，看跌,-2.000240689764681,PUT,2510.0,522.0,7514639.999999999,4.269565263077112e-05,5M-10M,2026-03-20,412.5299987792969,420.9500122070313,415.7149963378906,420.3150024414063,407.7999877929688,37.8,36.95,38.5,113.0,0.7124662542724609,True,MU,35.77,0.05675146771037165,-0.02000240689764681,176004804634.0,5.675146771037165,1988.0
AMAT260220C00300000,300.0,-993.0,多头平仓 Call，减仓，看涨减弱,-1.0831302822144737,CALL,99.0,1092.0,6163551.0,3.7940909677357265e-05,5M-10M,2026-02-20,365.2999877929688,369.2999877929688,362.4400024414063,369.2998962402344,360.3999938964844,62.07,63.0,66.2,12.0,1.6455095849609376,True,AMAT,66.65,-0.06871717929482378,-0.010831302822144737,162451323714.0,-6.871717929482378,-993.0
