contractSymbol,strike,oi_change,oi_change_pct,signal_type,stock_price_change_pct,option_type,openInterest_new,openInterest_old,amount_threshold,amount_to_market_cap,amount_tier,expiry_date,price_basis_new,price_basis_old,price_source_new,price_source_old,spread_pct_new,股票价格(new),股票价格(old),股票价格(new open),股票价格(new high),股票价格(new low),lastPrice_new,bid,ask,volume,impliedVolatility,inTheMoney,symbol,lastPrice_old,spread_pct_old,option_price_change,stock_price_change,market_cap,option_price_change_pct,oi_change_abs
NBIS280121C00250000,250.0,4006.0,249.7506234413965,空头卖 Call，看跌/看不涨,-2.3461958692133216,CALL,5610.0,1604.0,37856700.0,0.001476221571780125,10M-50M,2028-01-21,94.5,100.625,mid,mid,0.05291005291005291,214.7700042724609,219.92999267578125,219.2899932861328,221.9199066162109,210.7301025390625,98.11,92.0,97.0,61.0,0.99414068359375,False,NBIS,101.62,0.037267080745341616,-0.06086956521739131,-0.023461958692133217,25644321099.0,-6.086956521739131,4006.0
CRWD271217C00660000,660.0,976.0,2957.5757575757575,多头买 Call，看涨,2.3494811969191947,CALL,1009.0,33.0,19019800.0,0.00015742935716954822,10M-50M,2027-12-17,194.875,178.5,mid,mid,0.042334830019243104,663.4600219726562,648.22998046875,650.5599975585938,674.8400268554688,649.5999755859375,196.53,190.75,199.0,7.0,0.5964281385421752,True,CRWD,181.5,0.0392156862745098,0.09173669467787114,0.023494811969191946,120814823499.0,9.173669467787114,976.0
GOOG260522P00400000,400.0,-8373.0,-81.18879084650442,空头平仓 Put，回补，看跌信号减弱,-1.0665753057268905,PUT,1940.0,10313.0,17520502.5,5.860885887904031e-06,10M-50M,2026-05-22,20.925,15.125,mid,mid,0.06451612903225813,379.3800048828125,383.4700012207031,382.8500061035156,384.8500061035156,378.260009765625,20.82,20.25,21.6,78.0,0.6347692773437501,True,GOOG,14.5,0.13553719008264456,0.3834710743801653,-0.010665753057268905,2989394920000.0,38.34710743801653,-8373.0
CRWD271217C00500000,500.0,-556.0,-45.313773431132844,空头平仓 Call，回补信号，看涨,2.3494811969191947,CALL,671.0,1227.0,14984200.0,0.0001240261713424928,10M-50M,2027-12-17,269.5,253.75,mid,mid,0.025974025974025976,663.4600219726562,648.22998046875,650.5599975585938,674.8400268554688,649.5999755859375,258.05,266.0,273.0,1117.0,0.6229514633941651,True,CRWD,258.05,0.029556650246305417,0.06206896551724138,0.023494811969191946,120814823499.0,6.206896551724138,-556.0
NVDA280121C00170000,170.0,-1916.0,-32.988980716253444,多头平仓 Call，减仓，看涨减弱,-1.9042379756658894,CALL,3892.0,5808.0,14801100.0,3.4182544779847286e-06,10M-50M,2028-01-21,77.25,81.225,mid,mid,0.01682847896440144,215.3300018310547,219.50999450683597,220.9040069580078,221.00999450683597,214.8600006103516,76.86,76.6,77.9,108.0,0.530125548400879,True,NVDA,81.5,0.022776238842720942,-0.04893813481071092,-0.019042379756658893,4330017000000.0,-4.893813481071092,-1916.0
NVDA280121C00185000,185.0,-1984.0,-17.709542086941,多头平仓 Call，减仓，看涨减弱,-1.9042379756658894,CALL,9219.0,11203.0,13699519.999999998,3.1638490102925688e-06,10M-50M,2028-01-21,69.05,72.5,mid,mid,0.013034033309196318,215.3300018310547,219.50999450683597,220.9040069580078,221.00999450683597,214.8600006103516,69.29,68.6,69.5,65.0,0.5189257092285156,True,NVDA,72.05,0.012413793103448353,-0.04758620689655176,-0.019042379756658893,4330017000000.0,-4.758620689655176,-1984.0
NVDA280121C00175000,175.0,-1823.0,-18.3271338091887,多头平仓 Call，减仓，看涨减弱,-1.9042379756658894,CALL,8124.0,9947.0,13544890.0,3.1281378341008825e-06,10M-50M,2028-01-21,74.3,78.15,mid,mid,0.02153432032301473,215.3300018310547,219.50999450683597,220.9040069580078,221.00999450683597,214.8600006103516,75.2,73.5,75.1,13.0,0.5247087324523927,True,NVDA,76.55,0.020473448496481233,-0.049264235444657814,-0.019042379756658893,4330017000000.0,-4.926423544465782,-1823.0
NVDA280121C00180000,180.0,-1872.0,-12.876599257119272,多头平仓 Call，减仓，看涨减弱,-1.9042379756658894,CALL,12666.0,14538.0,13445640.0,3.105216446032429e-06,10M-50M,2028-01-21,71.825,74.825,mid,mid,0.009049773755656187,215.3300018310547,219.50999450683597,220.9040069580078,221.00999450683597,214.8600006103516,71.37,71.5,72.15,85.0,0.5238084729003907,True,NVDA,75.4,0.024724356832609345,-0.04009355162044771,-0.019042379756658893,4330017000000.0,-4.009355162044772,-1872.0
NBIS281215C00180000,180.0,1000.0,26.048450117218025,空头卖 Call，看跌/看不涨,-2.3461958692133216,CALL,4839.0,3839.0,13027500.0,0.0005080072094600316,10M-50M,2028-12-15,130.275,136.125,mid,mid,0.03492611782767232,214.7700042724609,219.92999267578125,219.2899932861328,221.9199066162109,210.7301025390625,131.7,128.0,132.55,2.0,0.9819032571411132,True,NBIS,140.84,0.027548209366391185,-0.042975206611570206,-0.023461958692133217,25644321099.0,-4.29752066115702,1000.0
NVDA280121C00190000,190.0,-1937.0,-18.820443062572874,多头平仓 Call，减仓，看涨减弱,-1.9042379756658894,CALL,8355.0,10292.0,12842310.000000002,2.9658798106335384e-06,10M-50M,2028-01-21,66.30000000000001,70.0,mid,mid,0.02564102564102568,215.3300018310547,219.50999450683597,220.9040069580078,221.00999450683597,214.8600006103516,67.15,65.45,67.15,61.0,0.5137072555541992,True,NVDA,69.8,0.012857142857142938,-0.05285714285714269,-0.019042379756658893,4330017000000.0,-5.28571428571427,-1937.0
