contractSymbol,strike,lastPrice_new,signal_type,stock_price_change_pct,option_type,volume_change_abs,volume_new,amount_threshold,amount_to_market_cap_pct,openInterest_new,amount_tier,expiry_date,股票价格(new),股票价格(old),股票价格(new open),股票价格(new high),股票价格(new low),bid,ask,impliedVolatility,inTheMoney,symbol,volume_old,lastPrice_old,openInterest_old,volume_change,volume_change_pct,option_price_change,stock_price_change,market_cap,option_price_change_pct,amount_to_market_cap
NVDA260424P00200000,200.0,2.23,买 Put，看跌,-1.3758199926504537,PUT,79425.0,81565.0,17711775.0,0.0004090463155225487,17315.0,10M-50M,2026-04-24,199.63999938964844,202.4250030517578,202.3999938964844,203.82899475097656,197.22059631347656,2.23,2.25,0.3501041552734374,True,NVDA,2140.0,1.06,17315.0,79425.0,3711.448598130841,1.1037735849056602,-0.013758199926504537,4330017000000.0,110.37735849056602,4.090463155225487e-06
NVDA260424P00202500,202.5,3.95,买 Put，看跌,-1.3758199926504537,PUT,42061.0,42685.0,16614095.000000002,0.0003836958376837782,7604.0,10M-50M,2026-04-24,199.63999938964844,202.4250030517578,202.3999938964844,203.82899475097656,197.22059631347656,3.95,4.05,0.395513857421875,True,NVDA,624.0,2.13,7604.0,42061.0,6740.544871794871,0.8544600938967138,-0.013758199926504537,4330017000000.0,85.44600938967139,3.836958376837782e-06
NVDA260515C00190000,190.0,12.8,卖 Call，看跌,-1.3758199926504537,CALL,12262.0,12284.0,15695360.0,0.00036247802260360644,55126.0,10M-50M,2026-05-15,199.63999938964844,202.4250030517578,202.3999938964844,203.82899475097656,197.22059631347656,12.75,12.85,0.3588931298828125,True,NVDA,22.0,15.63,55126.0,12262.0,55736.36363636364,-0.18106206014075496,-0.013758199926504537,4330017000000.0,-18.106206014075497,3.624780226036064e-06
MRVL260618C00180000,180.0,14.15,买 Call，看涨,2.011768339434373,CALL,8888.0,8917.0,12576520.0,0.01754026454662878,30789.0,10M-50M,2026-06-18,165.55999755859375,162.2949981689453,157.89999389648438,167.86000061035156,157.77000427246094,14.0,14.3,0.7583031982421876,False,MRVL,29.0,12.7,30789.0,8888.0,30648.275862068964,0.11417322834645678,0.020117683394343732,71700857000.0,11.417322834645677,0.0001754026454662878
NVDA260424C00200000,200.0,1.09,卖 Call，看跌,-1.3758199926504537,CALL,111851.0,112325.0,12191759.000000002,0.00028156376753255246,49396.0,10M-50M,2026-04-24,199.63999938964844,202.4250030517578,202.3999938964844,203.82899475097656,197.22059631347656,1.08,1.1,0.2155840161132812,False,NVDA,474.0,3.05,49396.0,111851.0,23597.257383966247,-0.6426229508196721,-0.013758199926504537,4330017000000.0,-64.26229508196721,2.8156376753255247e-06
IREN260501C00050000,50.0,4.21,买 Call，看涨,6.8391906448484,CALL,22215.0,25075.0,9352515.0,0.08214694769573996,8382.0,5M-10M,2026-05-01,52.02000045776367,48.68999862670898,48.34999847412109,53.36000061035156,47.93999862670898,4.2,4.3,0.9829103271484376,True,IREN,2860.0,2.97,8382.0,22215.0,776.7482517482517,0.4175084175084174,0.068391906448484,11385103479.0,41.75084175084174,0.0008214694769573996
NVDA260424P00205000,205.0,6.28,买 Put，看跌,-1.3758199926504537,PUT,13649.0,13697.0,8571572.0,0.0001979570057115249,2158.0,5M-10M,2026-04-24,199.63999938964844,202.4250030517578,202.3999938964844,203.82899475097656,197.22059631347656,6.2,6.35,0.4887746435546876,True,NVDA,48.0,3.65,2158.0,13649.0,28435.416666666668,0.7205479452054796,-0.013758199926504537,4330017000000.0,72.05479452054796,1.979570057115249e-06
HOOD260821P00090000,90.0,16.38,买 Put，看跌,-2.3152429902481666,PUT,4936.0,5026.0,8085167.999999999,0.007523391113815973,951.0,5M-10M,2026-08-21,83.54000091552734,85.5199966430664,86.58000183105469,87.61000061035156,81.74500274658203,16.1,16.8,0.6547886083984377,True,HOOD,90.0,14.2,951.0,4936.0,5484.444444444444,0.15352112676056337,-0.023152429902481668,107467070071.0,15.352112676056336,7.523391113815973e-05
PLTR260424P00145000,145.0,3.65,买 Put，看跌,-2.378980034892563,PUT,21207.0,21856.0,7740555.0,0.0018374906226016345,6117.0,5M-10M,2026-04-24,141.57000732421875,145.02000427246094,149.6999969482422,150.2899932861328,139.9199981689453,3.95,4.05,0.437505625,True,PLTR,649.0,1.25,6117.0,21207.0,3267.6425269645606,1.92,-0.02378980034892563,421256843697.0,192.0,1.8374906226016345e-05
NVDA260717C00200000,200.0,15.25,卖 Call，看跌,-1.3758199926504537,CALL,4443.0,4452.0,6775575.0,0.00015647917779537587,37745.0,5M-10M,2026-07-17,199.63999938964844,202.4250030517578,202.3999938964844,203.82899475097656,197.22059631347656,14.85,15.1,0.3954223056030274,False,NVDA,9.0,17.12,37745.0,4443.0,49366.66666666667,-0.10922897196261687,-0.013758199926504537,4330017000000.0,-10.922897196261687,1.5647917779537586e-06
NVDA260618C00200000,200.0,12.25,卖 Call，看跌,-1.3758199926504537,CALL,5413.0,5589.0,6630925.0,0.00015313854425975696,111167.0,5M-10M,2026-06-18,199.63999938964844,202.4250030517578,202.3999938964844,203.82899475097656,197.22059631347656,12.2,12.3,0.39649041015625,False,NVDA,176.0,14.14,111167.0,5413.0,3075.5681818181815,-0.1336633663366337,-0.013758199926504537,4330017000000.0,-13.36633663366337,1.5313854425975694e-06
NVDA260618P00200000,200.0,12.15,买 Put，看跌,-1.3758199926504537,PUT,5431.0,5434.0,6598665.000000001,0.00015239351254279143,12942.0,5M-10M,2026-06-18,199.63999938964844,202.4250030517578,202.3999938964844,203.82899475097656,197.22059631347656,12.15,12.25,0.3835510864257812,True,NVDA,3.0,10.68,12942.0,5431.0,181033.3333333333,0.1376404494382023,-0.013758199926504537,4330017000000.0,13.764044943820231,1.5239351254279142e-06
NVDA260424C00202500,202.5,0.39,卖 Call，看跌,-1.3758199926504537,CALL,167679.0,173807.0,6539481.000000001,0.00015102668188138755,89040.0,5M-10M,2026-04-24,199.63999938964844,202.4250030517578,202.3999938964844,203.82899475097656,197.22059631347656,0.38,0.39,0.2309647216796875,False,NVDA,6128.0,1.59,89040.0,167679.0,2736.2761096605745,-0.7547169811320755,-0.013758199926504537,4330017000000.0,-75.47169811320755,1.5102668188138755e-06
NVDA260618C00210000,210.0,7.9,卖 Call，看跌,-1.3758199926504537,CALL,8189.0,8206.0,6469310.000000001,0.00014940611087670098,68079.0,5M-10M,2026-06-18,199.63999938964844,202.4250030517578,202.3999938964844,203.82899475097656,197.22059631347656,7.85,7.95,0.3859924682617187,False,NVDA,17.0,9.55,68079.0,8189.0,48170.58823529412,-0.17277486910994766,-0.013758199926504537,4330017000000.0,-17.277486910994767,1.4940611087670097e-06
NVDA260501P00200000,200.0,4.85,买 Put，看跌,-1.3758199926504537,PUT,13256.0,13259.0,6429160.0,0.00014847886278506527,16442.0,5M-10M,2026-05-01,199.63999938964844,202.4250030517578,202.3999938964844,203.82899475097656,197.22059631347656,4.85,4.9,0.37695935546875,True,NVDA,3.0,3.6,16442.0,13256.0,441866.6666666667,0.3472222222222221,-0.013758199926504537,4330017000000.0,34.72222222222221,1.4847886278506528e-06
