contractSymbol,strike,oi_change,oi_change_pct,signal_type,stock_price_change_pct,option_type,openInterest_new,openInterest_old,amount_threshold,amount_to_market_cap,amount_tier,expiry_date,price_basis_new,price_basis_old,price_source_new,price_source_old,spread_pct_new,股票价格(new),股票价格(old),股票价格(new open),股票价格(new high),股票价格(new low),lastPrice_new,bid,ask,volume,impliedVolatility,inTheMoney,symbol,lastPrice_old,spread_pct_old,option_price_change,stock_price_change,market_cap,option_price_change_pct,oi_change_abs
AVGO260918C00450000,450.0,1391.0,23.187197866311053,多头买 Call，看涨,4.413008767311722,CALL,7390.0,5999.0,6575952.500000001,3.2879762500000006e-06,5M-10M,2026-09-18,47.275000000000006,41.025000000000006,mid,mid,0.03490216816499203,445.4049987792969,426.5799865722656,432.9500122070313,448.5799865722656,431.5,44.67,46.45,48.1,1.0,0.5002796554565431,False,AVGO,41.0,0.00853138330286414,0.15234613040828762,0.04413008767311722,2000000000000,15.234613040828762,1391.0
MSFT260918C00430000,430.0,1777.0,32.64144011756061,多头买 Call，看涨,3.209681117424115,CALL,7221.0,5444.0,6512705.0,1.359930048026728e-06,5M-10M,2026-09-18,36.65,30.525,mid,mid,0.013642564802182811,440.6950073242188,426.989990234375,432.7124938964844,441.7898864746094,432.3599853515625,37.0,36.4,36.9,16.0,0.3237982659912108,True,MSFT,30.5,0.00819000819000819,0.20065520065520068,0.03209681117424115,4789000000000,20.06552006552007,1777.0
MU261120C00860000,860.0,222.0,165.67164179104478,多头买 Call，看涨,5.63604325755577,CALL,356.0,134.0,6307020.0,3.319484210526316e-05,5M-10M,2026-11-20,284.1,255.95,mid,mid,0.02745512143611408,975.5700073242188,923.52001953125,956.4650268554688,981.0,946.6599731445312,274.93,280.2,288.0,512.0,0.885743330078125,True,MU,274.93,0.03946083219378783,0.10998241844110192,0.05636043257555771,190000000000,10.998241844110192,222.0
BE260821C00360000,360.0,1726.0,35.82399335823994,空头卖 Call，看跌/看不涨,-2.247776353628791,CALL,6544.0,4818.0,6200655.0,0.0003647444117647059,5M-10M,2026-08-21,35.925,45.8,mid,mid,0.09881697981906763,283.1099853515625,289.6199951171875,280.0,283.5899963378906,273.375,42.8,34.15,37.7,1893.0,1.108982726593018,False,BE,46.0,0.03493449781659392,-0.2156113537117904,-0.02247776353628791,17000000000,-21.56113537117904,1726.0
MU281215C01150000,1150.0,131.0,179.45205479452056,多头买 Call，看涨,5.63604325755577,CALL,204.0,73.0,5895000.0,3.102631578947368e-05,5M-10M,2028-12-15,450.0,424.85,mid,mid,0.035555555555555556,975.5700073242188,923.52001953125,956.4650268554688,981.0,946.6599731445312,437.14,442.0,458.0,157.0,0.8485923649215698,False,MU,437.14,0.041661762975167674,0.0591973637754501,0.05636043257555771,190000000000,5.919736377545011,131.0
SNDK260529C01300000,1300.0,-149.0,-36.34146341463415,空头平仓 Call，回补信号，看涨,3.555590421550953,CALL,261.0,410.0,5551740.0,0.0006939675,5M-10M,2026-05-29,372.6,332.55,mid,mid,0.039720880300590476,1700.010009765625,1641.6400146484375,1683.3800048828125,1708.800048828125,1657.0,338.6,365.2,380.0,262.0,1.0000000000000004e-05,True,SNDK,338.6,0.04480529243722742,0.12043301759133967,0.035555904215509526,8000000000,12.043301759133968,-149.0
MU260717P00690000,690.0,1969.0,338.31615120274915,空头卖 Put，看涨/看不跌,5.63604325755577,PUT,2551.0,582.0,5429517.5,2.8576407894736842e-05,5M-10M,2026-07-17,27.575000000000003,31.1,mid,mid,0.056210335448776086,975.5700073242188,923.52001953125,956.4650268554688,981.0,946.6599731445312,31.2,26.8,28.35,2263.0,0.9903565417480468,False,MU,31.3,0.028938906752411644,-0.11334405144694529,0.05636043257555771,190000000000,-11.334405144694529,1969.0
MU260529C00935000,935.0,1713.0,203.68608799048752,多头买 Call，看涨,5.63604325755577,CALL,2554.0,841.0,5404515.0,2.8444815789473684e-05,5M-10M,2026-05-29,31.55,15.5,mid,mid,0.02852614896988902,975.5700073242188,923.52001953125,956.4650268554688,981.0,946.6599731445312,31.15,31.1,32.0,122.0,1.0000000000000004e-05,True,MU,15.5,0.03870967741935493,1.035483870967742,0.05636043257555771,190000000000,103.5483870967742,1713.0
DELL260618C00330000,330.0,589.0,76.79269882659713,多头买 Call，看涨,31.518603346983742,CALL,1356.0,767.0,5245045.0,5.7011358695652174e-05,5M-10M,2026-06-18,89.05,22.5,mid,mid,0.03481190342504205,418.5419006347656,318.23779296875,418.0,429.1510009765625,407.6700134277344,88.38,87.5,90.6,24.0,0.5722699023437501,True,DELL,22.48,0.048888888888888954,2.957777777777778,0.3151860334698374,92000000000,295.77777777777777,589.0
MU261218C01000000,1000.0,220.0,15.256588072122051,多头买 Call，看涨,5.63604325755577,CALL,1662.0,1442.0,5238750.0,2.757236842105263e-05,5M-10M,2026-12-18,238.125,221.625,mid,mid,0.01490813648293968,975.5700073242188,923.52001953125,956.4650268554688,981.0,946.6599731445312,240.0,236.35,239.9,1.0,0.8649534378814696,False,MU,220.0,0.019176536943034405,0.07445008460236886,0.05636043257555771,190000000000,7.4450084602368864,220.0
DELL260529C00300000,300.0,454.0,13.282621416032766,多头买 Call，看涨,31.518603346983742,CALL,3872.0,3418.0,5234620.0,5.689804347826087e-05,5M-10M,2026-05-29,115.30000000000001,26.45,mid,mid,0.024284475281873347,418.5419006347656,318.23779296875,418.0,429.1510009765625,407.6700134277344,115.63,113.9,116.7,111.0,1.0000000000000004e-05,True,DELL,27.2,0.03402646502835534,3.359168241965974,0.3151860334698374,92000000000,335.91682419659736,454.0
MSFT270115C00450000,450.0,1240.0,8.936936936936938,多头买 Call，看涨,3.209681117424115,CALL,15115.0,13875.0,5177000.0,1.0810190018793067e-06,5M-10M,2027-01-15,41.75,36.425,mid,mid,0.011976047904191617,440.6950073242188,426.989990234375,432.7124938964844,441.7898864746094,432.3599853515625,41.95,41.5,42.0,40.0,0.3291235301208495,False,MSFT,36.65,0.012354152367879088,0.146190803019904,0.03209681117424115,4789000000000,14.619080301990401,1240.0
DELL260605C00350000,350.0,774.0,317.21311475409834,多头买 Call，看涨,31.518603346983742,CALL,1018.0,244.0,5108400.0,5.552608695652174e-05,5M-10M,2026-06-05,66.0,10.525,mid,mid,0.06060606060606061,418.5419006347656,318.23779296875,418.0,429.1510009765625,407.6700134277344,70.27,64.0,68.0,77.0,1.0000000000000004e-05,True,DELL,10.56,0.05225653206650838,5.270783847980997,0.3151860334698374,92000000000,527.0783847980997,774.0
DELL260529C00370000,370.0,1112.0,91.74917491749174,多头买 Call，看涨,31.518603346983742,CALL,2324.0,1212.0,5062380.0,5.5025869565217394e-05,5M-10M,2026-05-29,45.525,3.25,mid,mid,0.0647995606809446,418.5419006347656,318.23779296875,418.0,429.1510009765625,407.6700134277344,45.5,44.05,47.0,189.0,1.0000000000000004e-05,True,DELL,3.25,0.09230769230769226,13.007692307692308,0.3151860334698374,92000000000,1300.7692307692307,1112.0
