contractSymbol,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,option_type,expiry_date,symbol
AA251107C00028000,28.0,7.9,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,CALL,2025-11-07,AA
AA251107C00030000,30.0,7.43,0.0,0.0,5.0,0.0,1.0000000000000003e-05,True,CALL,2025-11-07,AA
AA251107C00030500,30.5,6.85,0.0,0.0,,0.0,1.0000000000000003e-05,True,CALL,2025-11-07,AA
AA251107C00031000,31.0,6.41,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,CALL,2025-11-07,AA
AA251107C00031500,31.5,5.63,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,CALL,2025-11-07,AA
AA251107C00032000,32.0,5.05,0.0,0.0,5.0,1.0,1.0000000000000003e-05,True,CALL,2025-11-07,AA
AA251107C00032500,32.5,3.84,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,CALL,2025-11-07,AA
AA251107C00033000,33.0,2.62,0.0,0.0,2.0,2.0,1.0000000000000003e-05,True,CALL,2025-11-07,AA
AA251107C00033500,33.5,2.98,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,CALL,2025-11-07,AA
AA251107C00034000,34.0,1.97,0.0,0.0,2.0,17.0,1.0000000000000003e-05,True,CALL,2025-11-07,AA
AA251107C00034500,34.5,5.25,0.0,0.0,,1.0,1.0000000000000003e-05,True,CALL,2025-11-07,AA
AA251107C00035000,35.0,1.15,0.0,0.0,110.0,116.0,1.0000000000000003e-05,True,CALL,2025-11-07,AA
AA251107C00035500,35.5,0.88,0.0,0.0,128.0,151.0,1.0000000000000003e-05,True,CALL,2025-11-07,AA
AA251107C00036000,36.0,0.65,0.0,0.0,215.0,346.0,1.0000000000000003e-05,True,CALL,2025-11-07,AA
AA251107C00036500,36.5,0.37,0.0,0.0,48.0,162.0,0.062509375,False,CALL,2025-11-07,AA
AA251107C00037000,37.0,0.13,0.0,0.0,122.0,827.0,0.12500875,False,CALL,2025-11-07,AA
AA251107C00037500,37.5,0.15,0.0,0.0,22.0,350.0,0.12500875,False,CALL,2025-11-07,AA
AA251107C00038000,38.0,0.07,0.0,0.0,78.0,445.0,0.2500075,False,CALL,2025-11-07,AA
