contractSymbol,strike,lastPrice_new,signal_type,stock_price_change_pct,option_type,volume_change_abs,volume_new,amount_threshold,amount_to_market_cap_pct,openInterest_new,amount_tier,expiry_date,bid,ask,impliedVolatility,inTheMoney,symbol,volume_old,lastPrice_old,openInterest_old,volume_change,volume_change_pct,option_price_change,stock_price_change,market_cap,option_price_change_pct,amount_to_market_cap,股票价格(new),股票价格(old)
COIN251003C00355000,355.0,18.0,买 Call，看涨,1.1806675533454567,CALL,15705.0,23879.0,28269000.0,0.03519709016602142,23018.0,10M-50M,2025-10-03,17.2,18.2,0.45508357421875,True,COIN,8174.0,16.35,23018.0,15705.0,192.13359432346465,0.10091743119266046,0.011806675533454566,80316298497.0,10.091743119266045,0.0003519709016602142,372.8280029296875,368.4775085449219
COIN251003C00335000,335.0,37.2,买 Call，看涨,1.1806675533454567,CALL,6771.0,14856.0,25188120.0,0.03136115641701396,15618.0,10M-50M,2025-10-03,36.65,37.85,0.6132851171875001,True,COIN,8085.0,32.91,15618.0,6771.0,83.74768089053804,0.13035551504102116,0.011806675533454566,80316298497.0,13.035551504102116,0.0003136115641701396,372.8280029296875,368.4775085449219
COIN251003C00345000,345.0,27.65,买 Call，看涨,1.1806675533454567,CALL,9080.0,9918.0,25106200.0,0.03125915968467816,10136.0,10M-50M,2025-10-03,27.15,28.1,0.6162147753906251,True,COIN,838.0,25.14,10136.0,9080.0,1083.5322195704057,0.099840891010342,0.011806675533454566,80316298497.0,9.9840891010342,0.00031259159684678166,372.8280029296875,368.4775085449219
COIN251003C00350000,350.0,22.55,买 Call，看涨,1.1806675533454567,CALL,5736.0,17165.0,12934680.0,0.01610467643809947,21223.0,10M-50M,2025-10-03,21.9,23.4,0.6098671826171876,True,COIN,11429.0,20.0,21223.0,5736.0,50.18811794557704,0.12750000000000003,0.011806675533454566,80316298497.0,12.750000000000004,0.00016104676438099473,372.8280029296875,368.4775085449219
COIN251010C00380000,380.0,10.8,买 Call，看涨,1.1806675533454567,CALL,10516.0,14682.0,11357280.0,0.014140691506623925,894.0,10M-50M,2025-10-10,10.3,10.7,0.5855754333496093,False,COIN,4166.0,9.77,894.0,10516.0,252.42438790206432,0.1054247697031731,0.011806675533454566,80316298497.0,10.54247697031731,0.00014140691506623926,372.8280029296875,368.4775085449219
COIN251003C00340000,340.0,32.38,买 Call，看涨,1.1806675533454567,CALL,3188.0,4348.0,10322744.0,0.012852614218004056,9883.0,10M-50M,2025-10-03,31.65,33.15,0.7304714453125,True,COIN,1160.0,30.1,9883.0,3188.0,274.82758620689657,0.07574750830564787,0.011806675533454566,80316298497.0,7.5747508305647875,0.00012852614218004056,372.8280029296875,368.4775085449219
COIN251003C00347500,347.5,24.95,买 Call，看涨,1.1806675533454567,CALL,3153.0,4216.0,7866734.999999999,0.009794693165913068,9477.0,5M-10M,2025-10-03,24.1,25.75,0.6196327099609377,True,COIN,1063.0,23.0,9477.0,3153.0,296.61335841956725,0.08478260869565214,0.011806675533454566,80316298497.0,8.478260869565215,9.794693165913068e-05,372.8280029296875,368.4775085449219
COIN251003C00357500,357.5,15.92,买 Call，看涨,1.1806675533454567,CALL,4750.0,10794.0,7562000.0,0.00941527453519594,8542.0,5M-10M,2025-10-03,15.3,16.35,0.5307664111328125,True,COIN,6044.0,14.0,8542.0,4750.0,78.590337524818,0.13714285714285715,0.011806675533454566,80316298497.0,13.714285714285715,9.41527453519594e-05,372.8280029296875,368.4775085449219
EOSE260515P00014000,14.0,4.85,卖 Put，看涨/对冲,-4.7600760362175,PUT,14005.0,14025.0,6792425.0,0.2582947573316548,14330.0,5M-10M,2026-05-15,4.8,4.95,0.9975586181640624,True,EOSE,20.0,5.15,14330.0,14005.0,70025.0,-0.05825242718446615,-0.047600760362175,2629718493.0,-5.825242718446615,0.0025829475733165482,12.404999732971191,13.024999618530272
COIN251010C00400000,400.0,5.25,买 Call，看涨,1.1806675533454567,CALL,11620.0,16366.0,6100500.0,0.007595594062676915,4443.0,5M-10M,2025-10-10,5.2,5.4,0.6275672009277344,False,COIN,4746.0,4.85,4443.0,11620.0,244.8377581120944,0.08247422680412379,0.011806675533454566,80316298497.0,8.24742268041238,7.595594062676914e-05,372.8280029296875,368.4775085449219
RKLB251010C00053000,53.0,2.31,买 Call，看涨,1.7466756708607243,CALL,15500.0,16534.0,3580500.0,0.01614656487771574,557.0,<=5M,2025-10-10,2.28,2.34,0.8247087841796874,False,RKLB,1034.0,1.83,557.0,15500.0,1499.0328820116056,0.2622950819672131,0.017466756708607242,22174995283.0,26.22950819672131,0.0001614656487771574,52.1349983215332,51.2400016784668
