contractSymbol,strike,lastPrice_new,signal_type,stock_price_change_pct,option_type,volume_change_abs,volume_new,amount_threshold,amount_to_market_cap_pct,openInterest_new,amount_tier,expiry_date,股票价格(new),股票价格(old),股票价格(new open),股票价格(new high),股票价格(new low),bid,ask,impliedVolatility,inTheMoney,symbol,volume_old,lastPrice_old,openInterest_old,volume_change,volume_change_pct,option_price_change,stock_price_change,market_cap,option_price_change_pct,amount_to_market_cap
COIN260130P00230000,230.0,35.6,买 Put平仓/做波动率交易,1.5196851655203152,PUT,6831.0,7025.0,24318360.0,0.030278237985417553,1294.0,10M-50M,2026-01-30,199.17999267578125,196.19839477539065,206.81500244140625,207.0,194.22000122070312,33.5,35.55,2.2241255334472654,True,COIN,194.0,33.58,1294.0,6831.0,3521.134020618557,0.06015485407980951,0.015196851655203151,80316298497.0,6.01548540798095,0.00030278237985417554
GOOG260220C00350000,350.0,7.55,卖 Call，看空/价差对冲,1.0442773486565884,CALL,5123.0,7065.0,3867865.0,0.0001293862170609429,10818.0,<=5M,2026-02-20,338.6600036621094,335.1600036621094,340.5450134277344,342.2900085449219,326.7200012207031,7.5,7.65,0.3629214099121094,False,GOOG,1942.0,8.35,10818.0,5123.0,263.8002059732235,-0.09580838323353291,0.010442773486565884,2989394920000.0,-9.58083832335329,1.293862170609429e-06
AMD260206P00217500,217.5,2.39,买 Put平仓/做波动率交易,1.415583110203371,PUT,12128.0,12324.0,2898592.0,0.0011201047489572773,370.0,<=5M,2026-02-06,252.17999267578125,248.66000366210935,254.65499877929688,260.52978515625,240.91000366210935,2.36,2.4,0.883790224609375,False,AMD,196.0,1.68,370.0,12128.0,6187.755102040816,0.4226190476190477,0.014155831102033709,258778654648.0,42.26190476190477,1.1201047489572774e-05
MSTR260220P00140000,140.0,9.42,卖 Put，看涨,1.3878119189697016,PUT,2783.0,5739.0,2621586.0,0.0029914871629563525,5423.0,<=5M,2026-02-20,143.19000244140625,141.22999572753906,155.9499969482422,156.0,139.360107421875,9.25,9.6,0.7731956274414062,False,MSTR,2956.0,10.25,5423.0,2783.0,94.14749661705007,-0.08097560975609756,0.013878119189697016,87634873800.0,-8.097560975609756,2.9914871629563528e-05
AVGO260206P00297500,297.5,2.81,买 Put平仓/做波动率交易,1.0309907857622365,PUT,9181.0,9869.0,2579861.0,0.0001633058277537739,1137.0,<=5M,2026-02-06,330.7300109863281,327.3550109863281,332.8800048828125,335.9200134277344,320.2799987792969,2.82,2.85,0.6801789794921876,False,AVGO,688.0,1.75,1137.0,9181.0,1334.4476744186047,0.6057142857142858,0.010309907857622366,1579772770810.0,60.57142857142858,1.6330582775377391e-06
