symbol,Date,Open,High,Low,Close,Volume
AMAT,2025-09-30,204.35499572753906,210.27000427246094,202.8800048828125,204.74000549316406,12161965
AI,2025-09-30,17.280000686645508,17.53499984741211,16.920000076293945,17.34000015258789,5618804
AEO,2025-09-30,17.15999984741211,17.520000457763672,16.600000381469727,17.110000610351562,7210450
AAPL,2025-09-30,254.85499572753906,255.91900634765625,253.11000061035156,254.6300048828125,37643254
AFRM,2025-09-30,76.5,76.58499908447266,70.66000366210938,73.08000183105469,11908024
AAL,2025-09-30,11.420000076293945,11.460000038146973,11.069999694824219,11.239999771118164,92284886
AES,2025-09-30,13.119999885559082,13.265000343322754,12.970000267028809,13.15999984741211,6186836
ADM,2025-09-30,60.20000076293945,60.56999969482422,59.689998626708984,59.7400016784668,2264797
AGNC,2025-09-30,9.739999771118164,9.8100004196167,9.680000305175781,9.789999961853027,17797485
ACHR,2025-09-30,9.520000457763672,9.670000076293945,9.170000076293945,9.579999923706055,37623864
ADT,2025-09-30,8.779999732971191,8.774999618530273,8.65999984741211,8.710000038146973,3862730
AG,2025-09-30,11.819999694824219,12.6899995803833,11.600000381469727,12.289999961853027,24582632
AMCR,2025-09-30,8.100000381469727,8.180000305175781,8.100000381469727,8.180000305175781,23553297
AA,2025-09-30,33.46500015258789,33.46500015258789,31.989999771118164,32.88999938964844,8580377
ACN,2025-09-30,246.58999633789062,252.08999633789062,245.40499877929688,246.60000610351562,6631179
ABEV,2025-09-30,2.2799999713897705,2.2850000858306885,2.2200000286102295,2.2300000190734863,48225959
AMD,2025-09-30,160.7949981689453,162.27999877929688,159.3300018310547,161.7899932861328,29319023
AMZN,2025-09-30,222.02999877929688,222.22999572753906,217.88999938964844,219.57000732421875,48147229
APA,2025-09-30,23.9950008392334,24.375,23.614999771118164,24.280000686645508,5929262
APH,2025-09-30,121.4000015258789,123.86499786376953,121.30999755859375,123.75,5790653
APLD,2025-09-30,22.5,23.549999237060547,22.073999404907227,22.940000534057617,27333510
APP,2025-09-30,713.0,720.2973022460938,699.219970703125,718.5399780273438,6642226
AR,2025-09-30,33.400001525878906,34.43000030517578,33.150001525878906,33.560001373291016,4171157
AUR,2025-09-30,5.514999866485596,5.534999847412109,5.349999904632568,5.389999866485596,11289342
ASTS,2025-09-30,48.56999969482422,49.720001220703125,47.5,49.08000183105469,6307156
AVTR,2025-09-30,11.800000190734863,12.515000343322754,11.65999984741211,12.479999542236328,11517549
AVGO,2025-09-30,330.1199951171875,331.04998779296875,324.6099853515625,329.9100036621094,20013929
B,2025-09-30,32.68000030517578,33.51300048828125,32.599998474121094,32.77000045776367,30235045
BA,2025-09-30,217.09500122070312,217.67990112304688,212.8300018310547,215.8300018310547,9269933
BABA,2025-09-30,181.66000366210938,182.1479949951172,177.10000610351562,178.72999572753906,18600657
BAX,2025-09-30,22.350000381469727,22.854999542236328,22.079299926757812,22.770000457763672,4955719
BAC,2025-09-30,52.47999954223633,52.564998626708984,51.019500732421875,51.59000015258789,23391764
BB,2025-09-30,4.960000038146973,4.980000019073486,4.739999771118164,4.880000114440918,13586796
BBD,2025-09-30,3.359999895095825,3.4100000858306885,3.3399999141693115,3.380000114440918,48289392
BBAI,2025-09-30,6.400000095367432,6.690000057220459,6.329999923706055,6.519999980926514,65670647
BCS,2025-09-30,20.700000762939453,20.81559944152832,20.433500289916992,20.670000076293945,7908622
BBWI,2025-09-30,26.020000457763672,26.040000915527344,25.290000915527344,25.760000228881836,4069932
BKR,2025-09-30,49.92499923706055,50.260101318359375,48.119998931884766,48.720001220703125,10816735
BE,2025-09-30,72.5999984741211,85.66000366210938,70.88999938964844,84.56999969482422,24633837
BMNR,2025-09-30,51.7599983215332,52.5,50.65340042114258,51.93000030517578,32156530
BMY,2025-09-30,44.18000030517578,45.529998779296875,44.119998931884766,45.099998474121094,28586658
BP,2025-09-30,34.40999984741211,34.630001068115234,34.20500183105469,34.459999084472656,5798200
BSX,2025-09-30,97.3499984741211,98.88999938964844,95.8499984741211,97.62999725341797,10978380
BTG,2025-09-30,4.900000095367432,5.059999942779541,4.829999923706055,4.949999809265137,52544651
BULL,2025-09-30,15.350000381469727,16.040000915527344,14.619999885559082,14.789999961853027,20666231
C,2025-09-30,103.09500122070312,103.62000274658203,99.13999938964844,101.5,17668191
CAG,2025-09-30,18.0,18.375,17.899999618530273,18.309999465942383,22192950
CARR,2025-09-30,59.0,59.810001373291016,58.939998626708984,59.70000076293945,4362002
CDE,2025-09-30,18.075000762939453,19.1200008392334,17.950300216674805,18.760000228881836,15662179
CCL,2025-09-30,29.780000686645508,30.139999389648438,28.59000015258789,28.90999984741211,35617107
