INTC
OPEN
SNAP
NVDA
F
DNN
TSLA
RGTI
PLUG
CIFR
NIO
AAL
RIG
BBAI
PSLV
QBTS
VALE
IREN
BTG
QUBT
MARA
KVUE
NU
RIOT
AAPL
SOUN
PLTR
BBD
WBD
AMZN
FCX
BMNR
RXRX
GRAB
RIVN
SOFI
ONDS
BULL
CVE
CLSK
ACHR
PFE
IONQ
BB
JOBY
NOK
AMD
CRWV
CLF
QS
HIMS
ABEV
MRVL
ORCL
MIR
HBAN
HOOD
AG
T
OKLO
ITUB
HL
MU
PCG
PR
WULF
AGNC
KGC
SMCI
APLD
CCL
FSM
RKT
B
KEY
PBR
HPE
GGB
KDP
BAC
AMCR
INFY
MP
UUUU
IAG
XOM
GOOGL
STLA
KO
NVO
WIT
RF
BA
GOOG
HAL
MSFT
BABA
NKE
LI
CMCSA
AVGO
KHC
LYFT
CSCO
BMY
NBIS
RKLB
CMG
UEC
JD
SLB
NGD
EA
UAA
EXK
UMC
CDE
KMI
M
CNC
SBET
SNY
NCLH
CSX
EOSE
DOW
SMR
VZ
RUN
LCID
HLN
MRK
EQX
PTON
CAG
IQ
WMT
MSTR
EQT
PATH
QURE
C
SBSW
CNQ
LUMN
COMP
BAX
TSM
PL
UBER  
OSCR  
TEVA  
MRNA  
ET  
CRNX  
ERIC  
OXY  
KMX  
AUR  
META  
V  
XPEV  
NXE  
ADT  
BE  
HTZ  
TTD  
DVN  
IBM  
PPTA  
U  
JHX  
DKNG  
LRCX  
PINS  
IOT  
CORZ  
GAP  
GM
JNJ
WMB
VNET
WU
WFC
GFS
WRD
PYPL
VLY
USB
NEM
NEE
FE
ASTS
BSX
ACN
LTM
GME
PAAS
PTEN
CPRT
HPQ
GLXY
VICI
BKR
DOC
CTRA
APA
FIG
TGT
PAA
CZR
XEL
VTRS
DXCM
FHN
AMAT
OWL
FLNC
GT
SHOP
JPM
CHWY
NLY
WAY
UWMC
CVX
CNH
AVTR
SBUX
EBAY
EMR
AEO
UPS
LUV
COP
EXC
UA
UNH
COIN
TMC
DAL
FNB
XYZ
CPNG
ROIV
HMY
HBM
AA
YMM
BBWI
SNDK
RIO
HST
PEP
NWL
APH
LYB
TXN
MAC
ETNB
ON
CRGY
DIS
AFRM
APP
BP
TAL
CARR
COLD
VG
CNXC
IPG
PONY
AES
PCAR
ADM
SONY
MBLY
TOST
CELH
PBR-A
IBRX
TRP
AI
PG
STNE
O
QXO
KVYO
HUT
SOBO
BCS
WDC
MO
PDD
CRCL
CNP
PRMB
TEM
VFC
ONON
CPB
PHYS
MS
UAL
TECK
SAND
MDLZ
SCHW
AR
ENPH
PANW
SO
XP
FOX
GILD
MDT
ELAN
GIS
EXTR
