symbol,Date,Open,High,Low,Close,Volume
NVDA,2025-12-01,174.6999969482422,174.8300018310547,174.6999969482422,174.74000549316406,7287520
MSFT,2025-12-01,487.9599914550781,488.17498779296875,487.7550048828125,488.17498779296875,770520
AAPL,2025-12-01,278.1499938964844,278.2300109863281,278.05999755859375,278.2099914550781,388034
GOOGL,2025-12-01,317.70001220703125,318.1199035644531,317.56500244140625,318.05999755859375,2387976
AMZN,2025-12-01,233.21499633789062,233.25999450683594,232.92999267578125,232.92999267578125,963729
AVGO,2025-12-01,394.8500061035156,395.4200134277344,394.79998779296875,395.0,914449
TSLA,2025-12-01,425.3500061035156,426.1400146484375,425.29998779296875,426.1000061035156,1698550
TSM,2025-12-01,292.4800109863281,288.2449951171875,286.7149963378906,287.6000061035156,536634
ORCL,2025-12-01,199.50999450683594,200.63499450683594,198.64999389648438,198.80999755859375,582833
NFLX,2025-12-01,106.5,106.9000015258789,106.30999755859375,106.68499755859375,470732
PLTR,2025-12-01,165.00999450683594,165.0749969482422,164.47000122070312,164.94000244140625,1018694
BABA,2025-12-01,156.16000366210938,160.6540069580078,160.14999389648438,160.2239990234375,650314
BAC,2025-12-01,53.11000061035156,53.629600524902344,53.45000076293945,53.55500030517578,762165
UNH,2025-12-01,331.6700134277344,328.125,326.9599914550781,327.1650085449219,174667
AMD,2025-12-01,213.96499633789062,215.22000122070312,213.5,214.32000732421875,915043
CRM,2025-12-01,229.0,229.82000732421875,228.60000610351562,229.39999389648438,185748
APP,2025-12-01,588.1300048828125,588.1300048828125,580.9400024414062,580.9400024414062,126487
PDD,2025-12-01,116.41000366210938,116.75,116.22000122070312,116.31999969482422,159782
QCOM,2025-12-01,165.89999389648438,166.4709930419922,165.5,166.33999633789062,169998
SHOP,2025-12-01,152.8000030517578,153.83999633789062,151.5500030517578,151.7050018310547,394230
ANET,2025-12-01,130.0,129.50430297851562,127.51000213623047,127.6449966430664,204637
MU,2025-12-01,232.28500366210938,238.25999450683594,232.0,235.86000061035156,864217
ISRG,2025-12-01,568.989990234375,569.969970703125,568.0,569.385009765625,29428
INTC,2025-12-01,39.8650016784668,40.375,39.86000061035156,40.30500030517578,7641495
ADBE,2025-12-01,316.57501220703125,319.86700439453125,316.1099853515625,319.385009765625,111072
PFE,2025-12-01,25.850000381469727,25.940000534057617,25.7450008392334,25.904499053955078,3195463
CRWD,2025-12-01,503.4800109863281,504.2449951171875,496.8900146484375,497.3599853515625,75919
SE,2025-12-01,136.38999938964844,138.5175018310547,136.03500366210938,136.78500366210938,197241
HOOD,2025-12-01,123.5999984741211,124.57499694824219,122.4269027709961,123.04000091552734,1146285
RBLX,2025-12-01,93.61000061035156,93.41500091552734,92.4800033569336,93.08000183105469,67412
DELL,2025-12-01,134.1699981689453,131.8800048828125,129.60000610351562,130.60000610351562,263877
COIN,2025-12-01,260.4750061035156,262.0249938964844,258.0899963378906,258.5199890136719,642910
SNOW,2025-12-01,249.64999389648438,249.52999877929688,246.01100158691406,246.875,119364
NU,2025-12-01,17.389999389648438,17.3799991607666,17.280099868774414,17.364999771118164,982232
MRVL,2025-12-01,89.06999969482422,89.94999694824219,88.30999755859375,89.91999816894531,832420
