symbol,Date,Open,High,Low,Close,Volume
NVDA,2025-12-19,176.6649932861328,177.13999938964844,176.35000610351562,177.0,28250560
MSFT,2025-12-19,487.3599853515625,487.8500061035156,485.0,486.1199035644531,8078723
AAPL,2025-12-19,272.1449890136719,272.739990234375,271.989990234375,272.739990234375,14740531
GOOGL,2025-12-19,301.79998779296875,302.7799987792969,301.2300109863281,302.2926025390625,7277767
AMZN,2025-12-19,226.7519989013672,227.4488067626953,226.38999938964844,226.6699981689453,11339298
AVGO,2025-12-19,333.3349914550781,335.48980712890625,333.0199890136719,334.7250061035156,6351018
TSLA,2025-12-19,488.5400085449219,490.489990234375,486.7601013183594,488.2898864746094,6112131
TSM,2025-12-19,285.0,287.6899108886719,286.3800048828125,287.5799865722656,532902
ORCL,2025-12-19,182.72000122070312,190.5800018310547,188.1199951171875,190.18499755859375,5228425
NFLX,2025-12-19,93.56999969482422,94.23999786376953,93.44999694824219,94.22000122070312,8000293
PLTR,2025-12-19,186.80999755859375,188.02999877929688,186.77999877929688,187.66000366210938,4465085
BABA,2025-12-19,148.64999389648438,149.77000427246094,148.8800048828125,149.63499450683594,531663
BAC,2025-12-19,54.79999923706055,54.68000030517578,54.40999984741211,54.630001068115234,6549246
UNH,2025-12-19,328.92999267578125,329.94000244140625,327.7749938964844,329.67498779296875,1329726
AMD,2025-12-19,204.60000610351562,206.86000061035156,204.20010375976562,205.63999938964844,3919431
CRM,2025-12-19,258.4200134277344,262.0400085449219,259.4800109863281,261.635009765625,1541443
APP,2025-12-19,703.8499755859375,711.9998779296875,700.0037231445312,710.969970703125,548069
PDD,2025-12-19,111.94000244140625,113.01000213623047,111.83999633789062,112.61000061035156,3295457
QCOM,2025-12-19,174.44000244140625,175.47999572753906,174.1999969482422,175.19000244140625,1661274
SHOP,2025-12-19,167.35000610351562,169.42999267578125,167.00999450683594,169.3699951171875,1102714
ANET,2025-12-19,125.0,126.94989776611328,125.01000213623047,126.94989776611328,1221898
MU,2025-12-19,251.75,259.3900146484375,251.75,258.8711853027344,4056328
ISRG,2025-12-19,562.6400146484375,568.1699829101562,561.9299926757812,568.125,569680
INTC,2025-12-19,36.470001220703125,37.04499816894531,36.470001220703125,36.95560073852539,8633041
ADBE,2025-12-19,354.6199951171875,355.80999755859375,354.1300048828125,354.4549865722656,681508
PFE,2025-12-19,25.010000228881836,25.09000015258789,24.979999542236328,25.084999084472656,8076010
CRWD,2025-12-19,480.3399963378906,484.2850036621094,478.6300048828125,482.5,543630
SE,2025-12-19,121.04000091552734,122.94999694824219,121.72000122070312,122.74500274658203,189820
HOOD,2025-12-19,119.37300109863281,121.04000091552734,119.13999938964844,119.9000015258789,1722670
RBLX,2025-12-19,86.68000030517578,84.16999816894531,83.02999877929688,83.58999633789062,468711
DELL,2025-12-19,128.00999450683594,125.7300033569336,123.69999694824219,125.61000061035156,584837
COIN,2025-12-19,244.302001953125,246.6699981689453,243.5500946044922,244.14010620117188,717163
SNOW,2025-12-19,217.14999389648438,221.74000549316406,219.8000030517578,219.80499267578125,166358
NU,2025-12-19,16.149999618530273,16.437999725341797,16.313499450683594,16.389999389648438,666779
MRVL,2025-12-19,84.30509948730469,85.64140319824219,83.81999969482422,85.56999969482422,1491536
CRWV,2025-12-19,70.87999725341797,73.95939636230469,70.7300033569336,73.11000061035156,3453940
